File Name;Type;Creator;Comments;Category;Extension;Dup;Data by Ilan Szekely, Jerusalem
Orion B4.ppc;APPL;08:12; ;Application; ; ;
Marathon;APPL;26.2;  ;Application/Game; ; ;
Marathon—Animation;film;26.2;Marathon;Game; ; ;
Marathon—Music;msik;26.2;Marathon;Game; ; ;
Marathon—Physics Model;phys;26.2;Marathon;Game; ; ;
Marathon—Preferences;pref;26.2;Marathon;Pref; ; ;
Marathon—Map;scen;26.2;Marathon;Game; ; ;
Marathon—Saved Game;sgam;26.2;Marathon;Game; ; ;
Marathon—Shapes;shps;26.2;Marathon;Game; ; ;
Marathon—Sounds;sndz;26.2;Marathon;Sound; ; ;
????—Minstrel;msik;26.3;Marathon ??;  ; ; ;
????—Merlin Physics;phys;26.3;Marathon ??;  ; ; ;
????—Physics Test Map;scen;26.3;Marathon ??;  ; ; ;
????—Deliverance;sgam;26.3;Marathon ??;  ; ; ;
????—Graphics;shps;26.3;Marathon ??;  ; ; ;
????—Sounds;sndz;26.3;Marathon ??;Sound; ; ;
Marathon 2;APPL;52.4;  ;Application/Game; ; ;
Marathon 2—Animation;fil2;52.4;Marathon 2;Game; ; ;
Marathon 2—Images;img2;52.4;Marathon 2;Game; ; ;
Marathon 2—Music;mus2;52.4;Marathon 2;Game; ; ;
Marathon 2—Physics Model;phy2;52.4;Marathon 2;Game; ; ;
Marathon 2 Preferences;pref;52.4;Marathon 2;Pref; ; ;
Marathon 2—Map;sce2;52.4;Marathon 2;Game; ; ;
Marathon 2—Saved Game;sga2;52.4;Marathon 2;Game; ; ;
Marathon 2—Shapes;shp2;52.4;Marathon 2;Game; ; ;
Marathon 2—Sounds;snd∞;52.4;Marathon 2;Sound; ; ;
Marathon 2—Sounds;snd2;52.4;Marathon 2;Sound/Game; ; ;
CYAC Keys;INIT;123;;INIT; ; ;
1212 I/O;ndrv;1212;Korg Inc.;Extension-Driver;; ;
1212 I/O—Preferences;PREF;1212;;Pref;; ;
BoostPrefs;1234;1234;  ;Pref; ; ;
Progression v1.7;APPL;1248; ;Application; ; ;
????—HIGHSCORE;Sept;1984; ;  ; ; ;
dataComet—ALA;3278;3278;dataComet;  ; ; ;
dataComet4.42;APPL;3278;databeast;Application; ; ;
dataComet—Connection File;CONF;3278; ; ; ; ;
dataComet—Hosts File;GFTS;3278; ; ; ; ;
dataComet—README;TEXT;3278;dataComet;Text File;TXT; ;
Express Modem;cdev;3615;Express Modem;Control Panel; ; ;
Express Modem—Preferences;PREF;3615;Express Modem;Pref; ; ;
Ping;APPL;4713; ;Application; ; ;
PowerLaunch II 2.0.1;APPL;6502; ;Application; ; ;
PlayItAgainSnd 1.1;APPL;7718; ;Application; ; ;
April 1 INIT;INIT;avr.01;;INIT; ; ;
Vue d'ensemble;APPL;avr.02; ;Application; ; ;
RunAPM;APPL;avr.02; ;Application; ; ;
RunAPM—Egypt.rec;COA ;avr.02;;;; ;
RunAPM—Document;COAc;avr.02;RunAPM;  ; ; ;
RunAPM—Library;COAl;avr.02;RunAPM;  ; ; ;
Authorware Self Running —Library;ALIB;avr.03;Authorware;  ; ; ;
RunA3M—Document;APCR;avr.03;Authorware;  ; ; ;
RunA3M—Library;APLI;avr.03;Authorware;  ; ; ;
mwproto1.pkg;APPL;avr.03; ;Application; ; ;
Authorware Self Running ;APPL;avr.03;Macromedia;Application; ; ;
Authorware Self Running —????;COAr;avr.03;Authorware;  ; ; ;
Authorware Self Running —Video Driver;XVDO;avr.03;Authorware;  ; ; ;
SteveDiary;APPL;    ;Steven Massey;Application;; ;
EasyReader FAX—????;EasY;    ;EasyReader FAX;  ; ; ;
International;Intl;    ;MacWise™ Demo; ; ; ;
TextPert Settings;PMTP;    ;Unspecified Creator;Pref; ; ;
Lady-bird/Käfer.SC;SCFO;    ;Unspecified Creator;???; ; ;
SONAR DIRECTORY;SON0;    ;Unspecified Creator;  ; ; ;
SONAR COMMENTS;SONC;    ;Unspecified Creator;  ; ; ;
world-map.pic;STAR;    ;Unspecified Creator;World Map; ; ;
SteveDiary—Text File;text;    ;SteveDiary;Text File;TXT; ;
SteveDiary—Text File;TEXT;    ;SteveDiary;Text File;TXT; ;
Nuts-and-seeds;FOOD;   C; ;  ; ; ;
Chicago 12 Form Letter;APPL;  AP; ;Application; ; ;
Learn To Type—Document;ßseÅ;†¥∏e;Learn To Type;; ; ;
Learn To Type—Preferences;≈P∑A;†¥∏e;Learn To Type;Pref; ; ;
Learn To Type v1.0.3;APPL;†¥∏e; ;Application; ; ;
CronTab Folder.sit; + ; ); ;  ; ; ;
Muddweller character macros; MUD; %|g;MUDDweller;  ; ; ;
MUDDweller;APPL; %|g;  ;Application/Game; ; ;
Muddweller character macros;MUD ; %|g;MUDDweller;  ; ; ;
Cross Platform Database;†§4b;†§4m;Cross Platform;  ; ; ;
Cross Platform;APPL;†§4m; ;Application; ; ;
Cross Platform Preferences;pref;†§4m;Cross Platform;Pref; ; ;
TicTacTrivia—Top Winners;f– ; πe0;TicTacTrivia;; ; ;
TicTacTrivia—Text File;TEXT; πe0;TicTacTrivia;Text File;TXT; ;
Icon;44 ; 44;  ; ; ; ;
DisEase 3.0;APPL; DE ; ;Application; ; ;
Gold Digger;APPL; GD ; ;Application; ; ;
Gold Digger—Preferences;GDPF; GD ;Gold Digger;Pref; ; ;
Gold Digger—Game File;GDSF; GD ;Gold Digger;  ; ; ;
 ;ator; Gui; ;  ; ; ;
Helium 1.0;cdev; He ; ;Control Panel; ; ;
Bikaka 1.2;APPL;†Hex; ;Application; ; ;
Aol-Show;APPL; jo!; ;Application; ; ;
Puzzle Gallery;APPL; pg ; ;Application; ; ;
Puzzle Gallery—At the Carnival;pgDK; pg ;Puzzle Gallery;  ; ; ;
PreView0.10;APPL; PV ; ;Application; ; ;
Ten Thumbs Typing Tutor—Document;MSTK; T*„;;; ; ;
ZUTATEN;   ; TO ; ;  ; ; ;
LEVT;   ; TO ; ;  ; ; ;
ZUTATEN;    ; TO ; ;Unspecified Type; ; ;
????—bondat;1÷@; TO ; ;  ; ; ;
????—SCOT;ˆˆˆˆ; TO ; ;  ; ; ;
Tzu/4—Comment;Tool; tZu;Tzu/4;  ; ; ;
ZMac's PostHaste App;APPL; UVA; ;Application; ; ;
Virtus VR;APPL; VR ;Virtus VR;Application; ; ;
Virtus VR—Texture Library;TLIB; VR ;Virtus VR;  ; ; ;
Virtus VR—Shapes Library;VLIB; VR ;Virtus VR;  ; ; ;
Virtus VR—Model;VMDL; VR ;Virtus VR;  ; ; ;
Virtus VR—Preferences;VPRF; VR ;Virtus VR;Pref; ; ;
Internet Black Book 2.0;APPL; wiz; ;Application; ; ;
Absolute Zero;APPL; Z® ; ;Application; ; ;
Absolute Zero—Common Update;Z®∂†; Z® ;Absolute Zero;  ; ; ;
Absolute Zero—Preferences;Z®pƒ; Z® ;Absolute Zero;Pref; ; ;
DumpsterCans;appf;¥¥¥¥;Dumpster- Shareware;  ; ; ;
Dumpster- Shareware;APPL;¥¥¥¥; ;Application; ; ;
Dumpster;cdev;¥¥¥¥; ;Control Panel; ; ;
Dumpster—Dumpster Icons;Icns;¥¥¥¥;Dumpster;; ; ;
Dumpster Startup;APPL;¥¥??;Donald Perreault;Application;; ;
Boxes;APPL;¥Ω∑œ; ;Application; ; ;
TSV Installer;APPL;^^^^; ;Application; ; ;
Simple Tags db;^^DB;^^TE;Simple Tag Editor;  ; ; ;
Simple Tag Editor;APPL;^^TE; ;Application; ; ;
Star Chaos v1.2 ;APPL;^~√å; ;Application; ; ;
BatchPrint;APPL;^89s; ;Application; ; ;
BatchPrint Manual/Spool;PFIL;^89s;BatchPrint;  ; ; ;
Ghostscript 2.5.2ß3;APPL;^FSF; ;Application; ; ;
Click OK! Lite;INIT;^OKL;;INIT; ; ;
On the Edge;APPL;Øt∑!;  ;Application/Game; ; ;
RotoDV™;APPL;®∂mø;Digital Origion, Inc.;Application;; ;
